epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.36147,3.36853,3.952,1.64315,0,0,0,0,3.83295,4.01562,1.51714,0,0,0
2,10.7874,3.29505,3.94893,1.5885,0,0,0,0,3.79305,4.01336,1.50567,1.63399e-05,1.63399e-05,1.63399e-05
3,13.0005,3.13319,3.92608,1.5998,0,0,0,0,3.70101,4.01039,1.48291,3.20197e-05,3.20197e-05,3.20197e-05
4,15.3563,3.83543,3.97681,1.59149,0,0,0,0,3.55673,4.00356,1.43527,4.70394e-05,4.70394e-05,4.70394e-05
5,17.2763,2.78765,3.90484,1.40642,0,0,0,0,3.3956,3.99198,1.37087,6.13989e-05,6.13989e-05,6.13989e-05
6,19.4254,2.9836,3.89721,1.35161,0,0,0,0,3.1655,3.98026,1.29195,7.50984e-05,7.50984e-05,7.50984e-05
7,21.2351,2.50251,3.85244,1.27503,0,0,0,0,2.90947,3.97076,1.20847,8.81376e-05,8.81376e-05,8.81376e-05
8,24.3673,2.84592,3.85719,1.28961,0,0,0,0,2.62986,3.96148,1.13183,0.000100517,0.000100517,0.000100517
9,27.245,2.68247,3.78455,1.34458,0,0,0,0,2.39214,3.95258,1.07506,0.000112236,0.000112236,0.000112236
10,29.5243,2.34269,3.72446,1.12495,0,0,0,0,2.13879,3.94337,1.01087,0.000123295,0.000123295,0.000123295
11,31.5095,2.26416,3.71361,1.14348,0.00936,0.01497,0.00483,0.00221,2.02631,3.88386,0.96839,0.000133693,0.000133693,0.000133693
12,33.591,2.85464,3.68625,1.18391,0.06683,0.16168,0.04464,0.01983,1.99513,3.82404,0.94336,0.000143432,0.000143432,0.000143432
13,35.4234,2.62767,3.60979,1.1269,0.06423,0.15269,0.04313,0.01813,1.98193,3.81486,0.92814,0.00015251,0.00015251,0.00015251
14,37.3385,2.13093,3.50115,1.11558,0.05856,0.11677,0.03633,0.01252,1.9949,3.81925,0.92594,0.000160929,0.000160929,0.000160929
15,39.8912,2.08555,3.48466,1.0498,0.03966,0.06886,0.02359,0.00694,2.07034,3.81286,0.93569,0.000168687,0.000168687,0.000168687
16,42.261,2.32061,3.41056,1.03368,0.02586,0.04491,0.0189,0.00547,2.17164,3.8123,0.94952,0.000175785,0.000175785,0.000175785
17,44.2651,2.18912,3.36297,1.07078,0.04072,0.07485,0.03322,0.01077,2.20848,3.79036,0.95243,0.000182223,0.000182223,0.000182223
18,46.1138,2.18334,3.29002,1.07338,0.04072,0.07485,0.03322,0.01077,2.20848,3.79036,0.95243,0.000188001,0.000188001,0.000188001
19,47.8414,2.07744,3.25142,1.04544,0.06019,0.11677,0.04909,0.02075,2.14749,3.74387,0.938,0.000193119,0.000193119,0.000193119
20,49.5989,2.26972,3.30836,1.04086,0.06019,0.11677,0.04909,0.02075,2.14749,3.74387,0.938,0.000197576,0.000197576,0.000197576
21,51.6721,2.64751,3.33268,1.03383,0.07738,0.15569,0.05714,0.02265,2.11344,3.71572,0.93192,0.000201374,0.000201374,0.000201374
22,54.056,2.14864,3.21556,1.03528,0.07738,0.15569,0.05714,0.02265,2.11344,3.71572,0.93192,0.000204511,0.000204511,0.000204511
23,56.1373,2.04133,3.16281,1.04634,0.08017,0.16467,0.05912,0.02398,2.07495,3.69763,0.92964,0.000206988,0.000206988,0.000206988
24,58.3355,2.32129,3.22318,1.01164,0.08017,0.16467,0.05912,0.02398,2.07495,3.69763,0.92964,0.000208805,0.000208805,0.000208805
25,60.2911,2.06389,3.05299,0.98383,0.10417,0.22455,0.0762,0.03571,2.02199,3.6768,0.92054,0.000209962,0.000209962,0.000209962
26,62.3858,2.18541,3.14289,0.98044,0.10417,0.22455,0.0762,0.03571,2.02199,3.6768,0.92054,0.000210459,0.000210459,0.000210459
27,64.2403,2.06074,3.03071,0.96587,0.11622,0.25749,0.09129,0.03805,1.98719,3.66686,0.91384,0.000210295,0.000210295,0.000210295
28,66.1599,2.16726,2.99223,0.96505,0.11622,0.25749,0.09129,0.03805,1.98719,3.66686,0.91384,0.000209472,0.000209472,0.000209472
29,68.3474,2.30157,3.16198,0.96449,0.10899,0.23952,0.08778,0.02806,2.03235,3.66679,0.9174,0.000207988,0.000207988,0.000207988
30,70.7284,2.25614,2.96226,0.985,0.10899,0.23952,0.08778,0.02806,2.03235,3.66679,0.9174,0.000205844,0.000205844,0.000205844
31,72.9828,2.09803,2.95714,1.01132,0.10907,0.23054,0.08204,0.02911,2.01575,3.63302,0.91425,0.000203041,0.000203041,0.000203041
32,75.4839,2.23069,2.91888,0.96466,0.10907,0.23054,0.08204,0.02911,2.01575,3.63302,0.91425,0.000199577,0.000199577,0.000199577
33,77.6225,2.29273,2.86247,1.00852,0.1,0.20359,0.09276,0.03072,1.92925,3.57491,0.90868,0.000195452,0.000195452,0.000195452
34,79.4753,2.08753,2.87849,0.97495,0.1,0.20359,0.09276,0.03072,1.92925,3.57491,0.90868,0.000190668,0.000190668,0.000190668
35,81.4377,2.01184,2.87764,0.95458,0.06687,0.13174,0.07498,0.02663,1.87729,3.53239,0.90651,0.000185224,0.000185224,0.000185224
36,83.8554,2.09993,2.80501,0.993,0.06687,0.13174,0.07498,0.02663,1.87729,3.53239,0.90651,0.000179119,0.000179119,0.000179119
37,85.6242,2.0847,2.78091,1.05713,0.0538,0.1018,0.06359,0.01994,1.90781,3.51926,0.91309,0.000172354,0.000172354,0.000172354
38,87.5083,2.06895,2.77709,1.03803,0.0538,0.1018,0.06359,0.01994,1.90781,3.51926,0.91309,0.00016493,0.00016493,0.00016493
39,89.797,2.30659,2.90722,0.95231,0.04848,0.09581,0.06381,0.01645,2.00786,3.51434,0.93061,0.000156845,0.000156845,0.000156845
40,91.779,1.994,2.63298,0.94126,0.04848,0.09581,0.06381,0.01645,2.00786,3.51434,0.93061,0.0001481,0.0001481,0.0001481
41,93.8127,1.99675,2.49925,0.95123,0.05457,0.11078,0.06492,0.02062,2.07675,3.49076,0.9401,0.000138694,0.000138694,0.000138694
42,96.081,1.94633,2.61747,1.02632,0.05457,0.11078,0.06492,0.02062,2.07675,3.49076,0.9401,0.000128629,0.000128629,0.000128629
43,99.6485,2.05228,2.44293,0.96834,0.06466,0.13473,0.07442,0.02541,2.11992,3.45759,0.94655,0.000117904,0.000117904,0.000117904
44,101.698,1.88735,2.45613,0.94115,0.06466,0.13473,0.07442,0.02541,2.11992,3.45759,0.94655,0.000106518,0.000106518,0.000106518
45,103.663,2.02363,2.40454,0.9552,0.0814,0.16766,0.1081,0.0327,2.1229,3.42196,0.94528,9.44722e-05,9.44722e-05,9.44722e-05
46,105.42,2.1477,2.33723,0.92317,0.0814,0.16766,0.1081,0.0327,2.1229,3.42196,0.94528,8.17663e-05,8.17663e-05,8.17663e-05
47,107.407,1.93945,2.49565,1.01048,0.0967,0.20268,0.13931,0.04153,2.10727,3.39754,0.94238,6.84003e-05,6.84003e-05,6.84003e-05
48,109.391,1.98802,2.39428,0.94931,0.0967,0.20268,0.13931,0.04153,2.10727,3.39754,0.94238,5.43742e-05,5.43742e-05,5.43742e-05
49,111.526,1.89188,2.52013,0.99596,0.0987,0.20567,0.15493,0.04827,2.09594,3.38072,0.94068,3.96879e-05,3.96879e-05,3.96879e-05
50,113.572,2.10589,2.27416,0.94613,0.0987,0.20567,0.15493,0.04827,2.09594,3.38072,0.94068,2.43415e-05,2.43415e-05,2.43415e-05
