key,cs,ct,py,other,category,leftVsRightSeparator
s,名,名,míng,,left,
d,中,中,zhōng,,left,
f,食,食,shí,,left,
v,大,大,dà,,left,
x,跪,跪,guì,,left,
n,劈,劈,pī,,pluck,yes
h,托,托,tuō,,pluck,yes
j,抹,抹,mǒ,,pluck,yes
u,挑,挑,tiǎo,,pluck,yes
k,勾,勾,gōu,,pluck,yes
i,剔,剔,tì,,pluck,yes
l,打,打,dǎ,,pluck,yes
o,摘,摘,zhāi,,pluck,yes
ju,抹挑,抹挑,mó tiǎo,uj,pluck,yes
ki,勾剔,勾剔,gōu tī,ik,pluck,yes
lo,打摘,打摘,dǎ zhāi,ol,pluck,yes
V,掩,罨,yǎn,,pluck,yes
c,掐起,掐起,qiā qǐ,,pluck,yes
DC,大撮,大撮,dà cuō,I,chord,yes
FC,反撮,反撮,fǎn cuō,Y,chord,yes
C,撮,撮,cuō,H,chord,yes
BL,拨剌,撥剌,bō là,,chord,yes
B,拨,撥,bō,,chord,yes
L,剌,剌,là,,chord,yes
TTT,三弹,三彈,sān dàn,,chord,yes
TT,双弹,雙彈,shuāng tán,,chord,yes
U,历,歷,lì,,pluck_3,yes
.,。,。,.,,number,
.,分,分,fēn,,number,
0,散,散,sàn,,number,
4,四,四,sì,,number,
5,五,五,wǔ,,number,
6,六,六,liù,,number,
7,七,七,qī,,number,
8,八,八,bā,,number,
9,九,九,jiǔ,,number,
1.1,一一,一一,yī yī,,number,
1.2,一二,一二,yī èr,,number,
1.3,一三,一三,yī sān,,number,
11,十一,十一,shí yī,,number,
12,十二,十二,shí èr,,number,
13.5,十三外,十三外,shí sān wài,,number,
13.5,外,外,wài,,number,
13,十三,十三,shí sān,,number,
1,一,一,yī,,number,
2,二,二,èr,,number,
3,三,三,sān,,number,
10,十,十,shí,,number,
0.5,半,半,bàn,,number,
/,绰,綽,chuò,,speed,yes
>,急,急,jí,,speed,yes
\,|注,注,zhù,,speed,yes
",",，,，,,,separator,yes
:,：,,,,special,
|,｜,｜,,,special,
banlun,半轮,半輪,bàn lún,,pluck_3,yes
lun,轮,輪,lún,,pluck_3,yes
上,上,上,shàng,shang,char,
下,下,下,xià,xia,char,
一,一,一,yī,1,char,
二,二,二,èr,2,char,
三,三,三,sān,3,char,
四,四,四,sì,4,char,
五,五,五,wǔ,5,char,
六,六,六,liù,6,char,
七,七,七,qī,7,char,
八,八,八,bā,8,char,
九,九,九,jiǔ,9,char,
十,十,十,shí,10,char,
外,外,外,wài,wai,char,
散,散,散,sàn,0,char,
散,散,散,sàn,san,char,
半,半,半,bàn,ban,char,
半,半,半,bàn,0.5,char,
滚,滚,滾,gǔn,gun,char,
沸,沸,沸,fú,fu,char,
至,至,至,zhì,zhi4,char,
如,如,如,rú,ru,char,
退,退,退,tuì,tui,char,
进,进,进,jìn,jin,char,
分开,分开,分开,fēnkāi,fenkai,char,
吟,吟,吟,yín,yin,char,
猱,猱,猱,náo,nao,char,
泛起,泛起,泛起,fàn qǐ,fanqi,char,
泛止,泛止,泛止,fàn zhǐ,fanzhi,char,
小吟,小吟,小吟,xiǎo yín,xiaoyin,char,
轮,轮,轮,lún,lun,char,
復,復,復,fù,fu4,char,
撞,撞,撞,zhuàng,zhuang,char,
起,起,起,qǐ,qi3,char,
泛,泛,泛,fàn,fan,char,
止,止,止,zhǐ,zhi,char,
带起,带起,带起,dài qǐ,daiqi,char,
对起,对起,对起,duì qǐ,duiqi,char,
抓起,抓起,抓起,zhūa qǐ,zhuaqi,char,
撇起,撇起,撇起,piē qǐ,pieqi,char,
大息,大息,大息,dà xī,daxi,char,
少息,少息,少息,shǎo xī,shaoxi,char,
定吟,定吟,定吟,dìng yín,dingyin,char,
细吟,细吟,細吟,xì yín,xiyin,char,
长吟,长吟,長吟,cháng yín,changyin,char,
应合,应合,應合,yìng hé,yinghe,char,
打圆,打圆,打圓,dǎ yuán,dayuan,char,
*,*,*,*,*,char,
背,背璅,背璅,bài suǒ,baisuo,char,
短,短璅,短璅,duǎn suǒ,duansuo,char,
长,长鎻,長鎻,cháng suǒ,changsuo,char,
bs,背璅,背璅,bài suǒ,baisuo,pluck,yes
ds,短璅,短璅,duǎn suǒ,duansuo,pluck,yes
cs,长鎻,長鎻,cháng suǒ,changsuo,pluck,yes
dj,叠蠲, 疊蠲,dié juān,diejuan,pluck,yes
叠,叠蠲, 疊蠲,dié juān,diejuan,char,